num_epochs,activation,neurons_per_layer,learning_rate,batch_size,test_score
10,relu,[10],1.00E-05,2048,0.122385155
10,leaky_relu,[10],1.00E-05,2048,0.186753372
10,leaky_relu,[20],1.00E-05,2048,0.278122736
10,relu,[10],1.00E-05,1024,0.340978086
10,leaky_relu,[30],1.00E-05,2048,0.395165376
10,relu,[20],1.00E-05,2048,0.395177659
10,leaky_relu,[10],1.00E-05,1024,0.40976033
10,relu,[30],1.00E-05,2048,0.411497828
10,relu,"[10, 20, 30, 20, 10]",1.00E-05,2048,0.448453479
10,leaky_relu,[40],1.00E-05,2048,0.498222455
10,relu,[40],1.00E-05,2048,0.511797227
10,leaky_relu,"[10, 20, 30, 20, 10]",1.00E-05,2048,0.536382086
10,leaky_relu,[20],1.00E-05,1024,0.564658911
10,leaky_relu,[50],1.00E-05,2048,0.604800036
10,relu,[50],1.00E-05,2048,0.626319369
10,relu,[20],1.00E-05,1024,0.655163062
30,leaky_relu,[10],1.00E-05,2048,0.657792505
30,relu,[10],1.00E-05,2048,0.7035199
10,leaky_relu,[30],1.00E-05,1024,0.712969602
10,relu,[10],1.00E-05,512,0.771215713
10,relu,[30],1.00E-05,1024,0.779150932
10,leaky_relu,[10],1.00E-05,512,0.798548029
10,leaky_relu,"[10, 20, 30, 20, 10]",1.00E-05,1024,0.825463926
30,leaky_relu,"[10, 20, 30, 20, 10]",0.001,512,0.840707988
10,relu,"[10, 20, 30, 20, 10]",1.00E-05,1024,0.842421055
10,relu,[40],1.00E-05,1024,0.846093599
30,leaky_relu,"[10, 20, 30, 20, 10]",0.001,2048,0.854675497
30,relu,[20],1.00E-05,2048,0.868338155
30,leaky_relu,[20],1.00E-05,2048,0.870347527
10,relu,"[10, 20, 30, 20, 10]",0.001,1024,0.870871851
30,leaky_relu,"[10, 20, 30, 20, 10]",0.001,1024,0.872556143
30,relu,"[10, 20, 30, 20, 10]",0.001,1024,0.875304052
10,relu,"[10, 20, 30, 20, 10]",0.001,512,0.87806262
10,leaky_relu,"[10, 20, 30, 20, 10]",0.001,512,0.881624306
30,relu,"[10, 20, 30, 20, 10]",0.001,2048,0.881843106
30,relu,"[10, 20, 30, 20, 10]",0.001,512,0.882430619
10,relu,"[10, 20, 30, 20, 10]",0.001,2048,0.884266681
10,relu,[20],1.00E-05,512,0.890054969
30,relu,"[10, 20, 30, 20, 10]",0.0001,512,0.89060607
10,leaky_relu,[40],1.00E-05,1024,0.890836606
10,relu,"[10, 20, 30, 20, 10]",0.0001,512,0.892409291
10,relu,"[10, 20, 30, 20, 10]",0.0001,1024,0.893875889
10,leaky_relu,[50],1.00E-05,1024,0.896315748
10,leaky_relu,"[10, 20, 30, 20, 10]",1.00E-05,512,0.903918954
10,relu,"[10, 20, 30, 20, 10]",1.00E-05,512,0.904886251
30,relu,"[10, 20, 30, 20, 10]",1.00E-05,2048,0.905400015
30,relu,[10],1.00E-05,1024,0.907067075
10,leaky_relu,"[10, 20, 30, 20, 10]",0.001,1024,0.907069772
30,relu,"[10, 20, 30, 20, 10]",0.0001,1024,0.907493722
30,leaky_relu,"[10, 20, 30, 20, 10]",1.00E-05,2048,0.90762496
30,leaky_relu,[30],1.00E-05,2048,0.909736426
30,relu,"[10, 20, 30, 20, 10]",0.0001,2048,0.910434916
30,leaky_relu,"[10, 20, 30, 20, 10]",0.0001,512,0.91249923
10,leaky_relu,"[10, 20, 30, 20, 10]",0.001,2048,0.913251606
30,leaky_relu,"[10, 20, 30, 20, 10]",1.00E-05,1024,0.913729048
30,relu,"[10, 20, 30, 20, 10]",1.00E-05,512,0.914476822
30,leaky_relu,"[10, 20, 30, 20, 10]",0.0001,2048,0.914999253
10,relu,[50],1.00E-05,1024,0.915109294
10,leaky_relu,"[10, 20, 30, 20, 10]",0.0001,1024,0.915811622
30,relu,"[10, 20, 30, 20, 10]",1.00E-05,1024,0.916041533
30,relu,[30],1.00E-05,2048,0.91654005
10,relu,[10],0.001,512,0.9171735
30,leaky_relu,[10],1.00E-05,1024,0.917268656
