num_epochs,activation,neurons_per_layer,learning_rate,batch_size,test_score
10,leaky_relu,"[10, 20, 30, 20, 10]",0.0001,2048,0.919273313
10,relu,[10],0.0001,2048,0.920231814
10,relu,"[10, 20, 30, 20, 10]",0.0001,2048,0.92049705
30,leaky_relu,[10],1.00E-05,512,0.920764255
30,relu,[10],1.00E-05,512,0.920795601
10,leaky_relu,[20],1.00E-05,512,0.921060504
30,leaky_relu,"[10, 20, 30, 20, 10]",1.00E-05,512,0.923367552
30,leaky_relu,[10],0.0001,1024,0.923421297
30,relu,[10],0.0001,2048,0.923466333
10,relu,[10],0.001,1024,0.923901949
10,leaky_relu,[10],0.0001,2048,0.924434578
30,leaky_relu,"[10, 20, 30, 20, 10]",0.0001,1024,0.924656995
10,leaky_relu,[10],0.0001,1024,0.925782009
10,leaky_relu,"[10, 20, 30, 20, 10]",0.0001,512,0.925898911
10,leaky_relu,[10],0.0001,512,0.925912356
10,relu,[30],1.00E-05,512,0.926380719
30,relu,[20],1.00E-05,1024,0.926734977
30,relu,[10],0.001,512,0.928330652
30,relu,[40],1.00E-05,2048,0.928688825
30,leaky_relu,[10],0.001,512,0.928997781
30,leaky_relu,[20],1.00E-05,1024,0.929540507
10,leaky_relu,[30],1.00E-05,512,0.93046205
10,relu,[40],1.00E-05,512,0.930698539
30,leaky_relu,[40],1.00E-05,2048,0.930912006
30,leaky_relu,[10],0.0001,2048,0.930919916
30,leaky_relu,[10],0.001,1024,0.931415405
10,relu,[10],0.001,2048,0.931758306
30,leaky_relu,[10],0.001,2048,0.932170485
10,leaky_relu,[20],0.0001,2048,0.932207772
10,leaky_relu,[40],1.00E-05,512,0.932237004
10,relu,[10],0.0001,512,0.932359585
10,relu,[10],0.0001,1024,0.932661168
10,leaky_relu,[10],0.001,512,0.932717709
30,relu,[30],1.00E-05,1024,0.93275762
30,relu,[10],0.0001,512,0.932903479
30,relu,[10],0.0001,1024,0.932919504
30,relu,[10],0.001,2048,0.933327568
30,leaky_relu,[10],0.0001,512,0.933373229
30,leaky_relu,[30],1.00E-05,1024,0.933717734
10,leaky_relu,[10],0.001,2048,0.933805789
30,leaky_relu,[50],1.00E-05,2048,0.934058546
10,relu,[20],0.0001,2048,0.934155639
10,leaky_relu,[10],0.001,1024,0.934526395
30,relu,[10],0.001,1024,0.93464492
30,relu,[50],1.00E-05,2048,0.934716372
10,relu,[50],1.00E-05,512,0.935664749
10,leaky_relu,[50],1.00E-05,512,0.935884204
30,relu,[20],1.00E-05,512,0.936039607
30,leaky_relu,[20],1.00E-05,512,0.936124022
30,relu,[20],0.0001,1024,0.938163873
30,relu,[40],1.00E-05,1024,0.938321514
30,leaky_relu,[40],1.00E-05,1024,0.938437417
10,leaky_relu,[20],0.0001,512,0.938566876
10,relu,[30],0.0001,512,0.938712931
30,leaky_relu,[30],1.00E-05,512,0.939064449
30,relu,[50],1.00E-05,1024,0.939265328
10,relu,[20],0.0001,1024,0.939284255
10,leaky_relu,[20],0.0001,1024,0.939360865
30,relu,[20],0.0001,2048,0.9397492
10,relu,[30],0.0001,2048,0.939808913
30,leaky_relu,[50],1.00E-05,1024,0.939836348
30,relu,[30],1.00E-05,512,0.939861428
10,relu,[40],0.0001,2048,0.940240468
10,leaky_relu,[30],0.0001,2048,0.94039673
10,leaky_relu,[20],0.001,512,0.940408031
30,relu,[20],0.001,1024,0.940675704
30,leaky_relu,[20],0.0001,1024,0.940688335
30,leaky_relu,[40],1.00E-05,512,0.940710839
10,leaky_relu,[30],0.0001,1024,0.940715716
30,leaky_relu,[20],0.001,1024,0.941150429
10,leaky_relu,[40],0.0001,2048,0.941285048
10,relu,[20],0.0001,512,0.941363655
10,leaky_relu,[20],0.001,2048,0.941426976
30,relu,[20],0.001,2048,0.941469345
30,relu,[20],0.0001,512,0.941604365
10,leaky_relu,[50],0.0001,2048,0.941761017
30,leaky_relu,[20],0.001,512,0.941928995
10,relu,[30],0.0001,1024,0.9421546
30,leaky_relu,[20],0.0001,2048,0.94217239
30,leaky_relu,[30],0.0001,2048,0.942226754
30,leaky_relu,[20],0.001,2048,0.942239959
10,relu,[20],0.001,2048,0.942251363
30,relu,[40],1.00E-05,512,0.942254702
10,leaky_relu,[20],0.001,1024,0.942291331
30,leaky_relu,[20],0.0001,512,0.94236711
10,relu,[20],0.001,1024,0.942536229
10,relu,[20],0.001,512,0.942933745
10,relu,[50],0.0001,2048,0.942977931
30,relu,[20],0.001,512,0.943015199
10,relu,[30],0.001,2048,0.943025997
30,leaky_relu,[30],0.001,1024,0.943094056
30,leaky_relu,[50],1.00E-05,512,0.943329185
10,relu,[40],0.0001,1024,0.943459798
30,leaky_relu,[30],0.001,2048,0.943660484
10,relu,[30],0.001,512,0.943846816
30,relu,[50],1.00E-05,512,0.943871824
30,leaky_relu,[30],0.0001,1024,0.943903904
10,leaky_relu,[30],0.001,2048,0.943989015
10,leaky_relu,[30],0.0001,512,0.944058709
10,leaky_relu,[40],0.0001,1024,0.944225696
30,relu,[30],0.0001,2048,0.944262714
30,leaky_relu,[30],0.0001,512,0.944313937
30,relu,[30],0.0001,512,0.94445397
30,relu,[30],0.001,512,0.94448152
10,relu,[40],0.0001,512,0.944566743
10,leaky_relu,[30],0.001,512,0.944594587
10,leaky_relu,[40],0.0001,512,0.944627258
30,leaky_relu,[30],0.001,512,0.944653157
30,relu,[30],0.0001,1024,0.944675959
10,leaky_relu,[30],0.001,1024,0.944693852
30,relu,[30],0.001,2048,0.944721411
10,relu,[30],0.001,1024,0.944769585
10,relu,[40],0.001,1024,0.944875185
10,relu,[40],0.001,2048,0.94488906
30,leaky_relu,[40],0.0001,2048,0.944926817
30,leaky_relu,[40],0.001,512,0.944967392
30,leaky_relu,[40],0.001,2048,0.945158544
10,leaky_relu,[50],0.0001,1024,0.945185146
30,relu,[40],0.0001,2048,0.945259311
30,relu,[50],0.0001,2048,0.945400593
30,relu,[40],0.001,1024,0.945428414
10,leaky_relu,[50],0.0001,512,0.945429083
30,relu,[30],0.001,1024,0.945501557
10,leaky_relu,[40],0.001,2048,0.94557761
30,relu,[40],0.0001,1024,0.945613928
30,relu,[50],0.0001,512,0.945620187
30,leaky_relu,[40],0.0001,1024,0.945806565
30,relu,[40],0.001,512,0.945811199
10,relu,[50],0.0001,512,0.945824683
30,leaky_relu,[40],0.0001,512,0.945828941
30,leaky_relu,[40],0.001,1024,0.945936614
10,leaky_relu,[40],0.001,512,0.945937976
10,relu,[50],0.0001,1024,0.945953493
30,leaky_relu,[50],0.0001,2048,0.945972692
30,relu,[50],0.001,512,0.946187863
10,relu,[50],0.001,1024,0.946268438
30,leaky_relu,[50],0.0001,1024,0.94637455
30,relu,[50],0.0001,1024,0.946387941
10,leaky_relu,[50],0.001,1024,0.946478043
10,leaky_relu,[50],0.001,2048,0.946483705
10,relu,[40],0.001,512,0.946556962
30,relu,[40],0.0001,512,0.946634833
30,relu,[40],0.001,2048,0.946684129
10,leaky_relu,[50],0.001,512,0.946712764
30,leaky_relu,[50],0.0001,512,0.946828913
10,leaky_relu,[40],0.001,1024,0.946844432
30,leaky_relu,[50],0.001,1024,0.946967877
30,relu,[50],0.001,2048,0.946968168
30,leaky_relu,[50],0.001,512,0.947080365
10,relu,[50],0.001,2048,0.947150397
10,relu,[50],0.001,512,0.947208315
30,leaky_relu,[50],0.001,2048,0.947339783
30,relu,[50],0.001,1024,0.947497416
