hidden_neurons,hidden_layers,activation,learning_rate,batch_size,num_epochs,dropout_prob,test_score
8,32,leaky_relu,0.001,1024,20,0.1,-3.82E-06
16,16,leaky_relu,0.001,1024,20,0.1,-3.81E-06
4,32,leaky_relu,0.0001,512,20,0.1,-3.79E-06
16,16,leaky_relu,0.001,512,20,0.4,-3.77E-06
8,16,leaky_relu,0.001,512,20,0.1,-3.71E-06
8,16,leaky_relu,0.001,1024,20,0.2,-3.64E-06
1,8,leaky_relu,0.001,1024,20,0.2,-3.60E-06
16,32,leaky_relu,0.0001,1024,20,0.3,-3.44E-06
1,16,leaky_relu,0.0001,1024,20,0.4,-3.43E-06
2,16,leaky_relu,0.0001,512,20,0.2,-3.37E-06
1,8,leaky_relu,0.001,512,20,0.4,-3.25E-06
16,16,leaky_relu,0.0001,1024,20,0.1,-3.22E-06
2,16,leaky_relu,0.0001,512,20,0.4,-3.16E-06
1,16,leaky_relu,0.0001,1024,20,0.3,-3.09E-06
1,32,leaky_relu,0.001,512,20,0.1,-2.76E-06
4,32,leaky_relu,0.001,512,20,0.2,-2.65E-06
16,32,leaky_relu,0.001,1024,20,0.1,-2.59E-06
4,16,leaky_relu,0.001,512,20,0.2,-2.56E-06
4,32,leaky_relu,0.0001,1024,20,0.5,-2.54E-06
1,16,leaky_relu,0.001,512,20,0.4,-2.52E-06
8,16,leaky_relu,0.001,1024,20,0.3,-2.49E-06
2,8,leaky_relu,0.0001,1024,20,0.4,-2.42E-06
16,16,leaky_relu,0.001,512,20,0.3,-2.32E-06
8,32,leaky_relu,0.0001,512,20,0.4,-2.29E-06
16,32,leaky_relu,0.0001,512,20,0.4,-2.24E-06
2,32,leaky_relu,0.0001,512,20,0.4,-2.22E-06
8,32,leaky_relu,0.001,512,20,0.5,-2.19E-06
1,8,leaky_relu,0.0001,512,20,0.2,-2.08E-06
8,32,leaky_relu,0.0001,1024,20,0.2,-1.98E-06
4,16,leaky_relu,0.0001,512,20,0.4,-1.93E-06
2,16,leaky_relu,0.001,1024,20,0.4,-1.92E-06
4,8,leaky_relu,0.001,1024,20,0.2,-1.87E-06
2,16,leaky_relu,0.001,512,20,0.2,-1.85E-06
16,16,leaky_relu,0.0001,1024,20,0.5,-1.81E-06
1,16,leaky_relu,0.0001,512,20,0.4,-1.79E-06
2,8,leaky_relu,0.0001,512,20,0.2,-1.77E-06
8,32,leaky_relu,0.0001,512,20,0.2,-1.77E-06
1,8,leaky_relu,0.0001,1024,20,0.2,-1.75E-06
1,32,leaky_relu,0.001,1024,20,0.4,-1.70E-06
1,16,leaky_relu,0.0001,1024,20,0.2,-1.69E-06
8,32,leaky_relu,0.0001,512,20,0.1,-1.64E-06
2,8,leaky_relu,0.0001,1024,20,0.1,-1.60E-06
1,32,leaky_relu,0.0001,512,20,0.3,-1.53E-06
8,16,leaky_relu,0.0001,512,20,0.5,-1.45E-06
1,32,leaky_relu,0.0001,512,20,0.1,-1.45E-06
4,16,leaky_relu,0.001,512,20,0.3,-1.44E-06
4,16,leaky_relu,0.0001,1024,20,0.4,-1.36E-06
2,16,leaky_relu,0.001,1024,20,0.3,-1.34E-06
8,16,leaky_relu,0.0001,1024,20,0.2,-1.31E-06
1,32,leaky_relu,0.001,1024,20,0.5,-1.27E-06
2,32,leaky_relu,0.0001,1024,20,0.1,-1.24E-06
8,16,leaky_relu,0.0001,512,20,0.1,-1.20E-06
4,8,leaky_relu,0.0001,512,20,0.2,-1.19E-06
8,32,leaky_relu,0.0001,1024,20,0.5,-1.19E-06
16,32,leaky_relu,0.0001,1024,20,0.4,-1.18E-06
2,32,leaky_relu,0.0001,512,20,0.2,-1.16E-06
2,16,leaky_relu,0.001,512,20,0.5,-1.07E-06
8,16,leaky_relu,0.0001,1024,20,0.1,-1.03E-06
16,32,leaky_relu,0.0001,512,20,0.1,-1.01E-06
4,16,leaky_relu,0.001,1024,20,0.1,-1.01E-06
2,32,leaky_relu,0.0001,1024,20,0.4,-1.01E-06
2,16,leaky_relu,0.0001,1024,20,0.3,-9.91E-07
4,16,leaky_relu,0.0001,1024,20,0.1,-9.84E-07
16,16,leaky_relu,0.0001,512,20,0.3,-9.10E-07
1,16,leaky_relu,0.001,512,20,0.2,-8.85E-07
8,32,leaky_relu,0.0001,1024,20,0.3,-8.18E-07
16,16,leaky_relu,0.001,512,20,0.2,-8.13E-07
1,32,leaky_relu,0.001,1024,20,0.2,-7.93E-07
1,32,leaky_relu,0.0001,1024,20,0.5,-7.70E-07
1,16,leaky_relu,0.001,1024,20,0.3,-7.69E-07
2,8,leaky_relu,0.001,1024,20,0.4,-7.67E-07
1,32,leaky_relu,0.001,512,20,0.4,-7.42E-07
4,16,leaky_relu,0.0001,512,20,0.2,-7.28E-07
1,8,leaky_relu,0.0001,512,20,0.3,-6.95E-07
