hidden_neurons,hidden_layers,activation,learning_rate,batch_size,num_epochs,dropout_prob,test_score
4,1,leaky_relu,0.001,512,20,0.3,0.740585438
4,2,leaky_relu,0.001,1024,20,0.3,0.740734785
4,2,leaky_relu,0.0001,512,20,0.3,0.741293053
8,1,leaky_relu,0.0001,1024,20,0.5,0.741721425
8,4,leaky_relu,0.0001,1024,20,0.3,0.744063086
8,1,leaky_relu,0.001,1024,20,0.5,0.745345614
8,8,leaky_relu,0.0001,512,20,0.2,0.745672683
2,1,leaky_relu,0.0001,1024,20,0.2,0.745678327
2,1,leaky_relu,0.0001,512,20,0.2,0.746929494
2,1,leaky_relu,0.001,512,20,0.2,0.747974272
8,2,leaky_relu,0.0001,1024,20,0.4,0.748948203
8,2,leaky_relu,0.0001,512,20,0.4,0.750251384
4,1,leaky_relu,0.0001,1024,20,0.3,0.754340444
16,4,leaky_relu,0.001,1024,20,0.5,0.755387605
8,8,leaky_relu,0.0001,1024,20,0.2,0.756564499
16,4,leaky_relu,0.001,512,20,0.5,0.759065787
4,8,leaky_relu,0.001,512,20,0.1,0.759908979
4,2,leaky_relu,0.0001,1024,20,0.2,0.760035072
4,1,leaky_relu,0.001,1024,20,0.3,0.76256774
4,1,leaky_relu,0.0001,512,20,0.3,0.763093652
8,4,leaky_relu,0.0001,512,20,0.3,0.765249463
8,4,leaky_relu,0.001,512,20,0.3,0.766185161
2,2,leaky_relu,0.0001,512,20,0.1,0.76867879
16,8,leaky_relu,0.0001,1024,20,0.3,0.771311104
16,4,leaky_relu,0.0001,1024,20,0.4,0.78148803
8,2,leaky_relu,0.001,1024,20,0.4,0.784916655
4,4,leaky_relu,0.0001,512,20,0.1,0.785681794
8,4,leaky_relu,0.001,1024,20,0.3,0.787033214
4,2,leaky_relu,0.0001,512,20,0.2,0.787225716
8,4,leaky_relu,0.0001,1024,20,0.2,0.789209568
8,2,leaky_relu,0.001,512,20,0.4,0.790539018
8,1,leaky_relu,0.0001,512,20,0.4,0.791675618
16,2,leaky_relu,0.0001,1024,20,0.5,0.793546941
8,1,leaky_relu,0.001,512,20,0.4,0.796648087
8,8,leaky_relu,0.001,1024,20,0.2,0.797783491
8,1,leaky_relu,0.0001,1024,20,0.4,0.798317156
16,8,leaky_relu,0.0001,512,20,0.3,0.798939589
8,1,leaky_relu,0.001,1024,20,0.4,0.799347256
8,2,leaky_relu,0.0001,1024,20,0.3,0.800063863
16,4,leaky_relu,0.0001,512,20,0.4,0.802941598
8,2,leaky_relu,0.0001,512,20,0.3,0.803740009
2,2,leaky_relu,0.001,1024,20,0.1,0.805303552
16,16,leaky_relu,0.0001,512,20,0.2,0.806496476
4,4,leaky_relu,0.0001,1024,20,0.1,0.806515229
8,8,leaky_relu,0.001,512,20,0.2,0.807416839
16,4,leaky_relu,0.001,1024,20,0.4,0.807726669
4,1,leaky_relu,0.001,512,20,0.2,0.812528134
2,2,leaky_relu,0.001,512,20,0.1,0.813821333
16,2,leaky_relu,0.0001,512,20,0.5,0.814944612
4,1,leaky_relu,0.0001,512,20,0.2,0.818344809
16,8,leaky_relu,0.001,1024,20,0.3,0.820496851
4,2,leaky_relu,0.001,512,20,0.2,0.821356032
16,1,leaky_relu,0.0001,1024,20,0.5,0.822191968
16,8,leaky_relu,0.001,512,20,0.3,0.823269619
16,1,leaky_relu,0.001,1024,20,0.5,0.823559085
16,4,leaky_relu,0.001,512,20,0.4,0.824353183
4,1,leaky_relu,0.0001,1024,20,0.2,0.824682334
8,4,leaky_relu,0.001,1024,20,0.2,0.825196428
16,1,leaky_relu,0.001,512,20,0.5,0.826249376
8,4,leaky_relu,0.0001,512,20,0.2,0.827522469
16,1,leaky_relu,0.0001,512,20,0.5,0.829544748
16,2,leaky_relu,0.001,1024,20,0.5,0.829624916
4,2,leaky_relu,0.001,1024,20,0.2,0.830050122
4,1,leaky_relu,0.001,1024,20,0.2,0.83047999
8,1,leaky_relu,0.0001,1024,20,0.3,0.830644462
16,2,leaky_relu,0.001,512,20,0.5,0.831991859
8,8,leaky_relu,0.0001,1024,20,0.1,0.836657959
2,1,leaky_relu,0.0001,1024,20,0.1,0.838791195
4,2,leaky_relu,0.0001,1024,20,0.1,0.839086425
8,2,leaky_relu,0.001,1024,20,0.3,0.839149468
16,4,leaky_relu,0.0001,512,20,0.3,0.839626804
8,1,leaky_relu,0.001,1024,20,0.3,0.839978198
2,1,leaky_relu,0.0001,512,20,0.1,0.840333389
8,1,leaky_relu,0.0001,512,20,0.3,0.84071789
8,1,leaky_relu,0.001,512,20,0.3,0.840771039
16,8,leaky_relu,0.0001,1024,20,0.2,0.842419576
16,4,leaky_relu,0.0001,1024,20,0.3,0.843772394
4,4,leaky_relu,0.001,1024,20,0.1,0.843895669
16,2,leaky_relu,0.0001,1024,20,0.4,0.845520905
8,2,leaky_relu,0.001,512,20,0.3,0.847821617
8,8,leaky_relu,0.0001,512,20,0.1,0.848257076
16,8,leaky_relu,0.0001,512,20,0.2,0.849844365
16,2,leaky_relu,0.0001,512,20,0.4,0.851401917
8,2,leaky_relu,0.0001,512,20,0.2,0.851554018
8,2,leaky_relu,0.0001,1024,20,0.2,0.85297536
8,4,leaky_relu,0.001,512,20,0.2,0.854574679
16,2,leaky_relu,0.001,1024,20,0.4,0.858505374
16,1,leaky_relu,0.0001,1024,20,0.4,0.860560235
16,1,leaky_relu,0.0001,512,20,0.4,0.860660963
4,4,leaky_relu,0.001,512,20,0.1,0.86127655
16,1,leaky_relu,0.001,1024,20,0.4,0.861760721
16,1,leaky_relu,0.001,512,20,0.4,0.862449441
16,2,leaky_relu,0.001,512,20,0.4,0.863516086
16,4,leaky_relu,0.001,1024,20,0.3,0.864268792
4,1,leaky_relu,0.0001,1024,20,0.1,0.868899691
16,4,leaky_relu,0.001,512,20,0.3,0.869399036
16,2,leaky_relu,0.0001,1024,20,0.3,0.871714159
4,2,leaky_relu,0.001,1024,20,0.1,0.872728046
8,4,leaky_relu,0.0001,1024,20,0.1,0.873698973
4,1,leaky_relu,0.0001,512,20,0.1,0.875941568
16,8,leaky_relu,0.001,512,20,0.2,0.876714425
8,1,leaky_relu,0.0001,1024,20,0.2,0.877178563
16,2,leaky_relu,0.0001,512,20,0.3,0.877248013
8,1,leaky_relu,0.001,1024,20,0.2,0.877367564
4,1,leaky_relu,0.001,512,20,0.1,0.877373984
4,2,leaky_relu,0.0001,512,20,0.1,0.877543528
8,1,leaky_relu,0.0001,512,20,0.2,0.878210588
8,2,leaky_relu,0.001,512,20,0.2,0.878219941
8,1,leaky_relu,0.001,512,20,0.2,0.878754138
16,8,leaky_relu,0.001,1024,20,0.2,0.879455566
16,4,leaky_relu,0.0001,1024,20,0.2,0.879903126
4,2,leaky_relu,0.001,512,20,0.1,0.882416426
8,2,leaky_relu,0.001,1024,20,0.2,0.882586225
8,8,leaky_relu,0.001,512,20,0.1,0.882743375
8,4,leaky_relu,0.0001,512,20,0.1,0.883222403
8,8,leaky_relu,0.001,1024,20,0.1,0.884636614
16,1,leaky_relu,0.0001,512,20,0.3,0.886115808
16,4,leaky_relu,0.0001,512,20,0.2,0.886296685
16,1,leaky_relu,0.001,1024,20,0.3,0.886989916
16,1,leaky_relu,0.0001,1024,20,0.3,0.887657435
16,1,leaky_relu,0.001,512,20,0.3,0.88781199
16,2,leaky_relu,0.001,512,20,0.3,0.890405834
16,2,leaky_relu,0.001,1024,20,0.3,0.893923115
16,8,leaky_relu,0.0001,1024,20,0.1,0.895828288
8,2,leaky_relu,0.0001,1024,20,0.1,0.896755957
16,2,leaky_relu,0.0001,1024,20,0.2,0.899546097
16,4,leaky_relu,0.001,1024,20,0.2,0.901736323
8,2,leaky_relu,0.0001,512,20,0.1,0.902717637
16,4,leaky_relu,0.001,512,20,0.2,0.904152187
16,8,leaky_relu,0.0001,512,20,0.1,0.904890537
16,2,leaky_relu,0.0001,512,20,0.2,0.905544278
16,1,leaky_relu,0.001,512,20,0.2,0.907935505
16,1,leaky_relu,0.0001,512,20,0.2,0.908579209
8,4,leaky_relu,0.001,1024,20,0.1,0.90868539
8,4,leaky_relu,0.001,512,20,0.1,0.909173623
8,1,leaky_relu,0.001,512,20,0.1,0.910783917
16,1,leaky_relu,0.0001,1024,20,0.2,0.911039426
16,1,leaky_relu,0.001,1024,20,0.2,0.911723223
16,2,leaky_relu,0.001,512,20,0.2,0.912131481
8,1,leaky_relu,0.001,1024,20,0.1,0.912481058
8,1,leaky_relu,0.0001,512,20,0.1,0.913368988
8,1,leaky_relu,0.0001,1024,20,0.1,0.913932563
16,4,leaky_relu,0.0001,1024,20,0.1,0.914422058
8,2,leaky_relu,0.001,1024,20,0.1,0.917458263
16,2,leaky_relu,0.001,1024,20,0.2,0.917563466
16,4,leaky_relu,0.0001,512,20,0.1,0.92213898
8,2,leaky_relu,0.001,512,20,0.1,0.923236437
16,8,leaky_relu,0.001,1024,20,0.1,0.925461924
16,2,leaky_relu,0.0001,1024,20,0.1,0.925643023
16,8,leaky_relu,0.001,512,20,0.1,0.927568655
16,2,leaky_relu,0.0001,512,20,0.1,0.927618543
16,1,leaky_relu,0.0001,1024,20,0.1,0.928782452
16,1,leaky_relu,0.0001,512,20,0.1,0.928898555
16,1,leaky_relu,0.001,1024,20,0.1,0.929272973
16,1,leaky_relu,0.001,512,20,0.1,0.929474657
16,4,leaky_relu,0.001,512,20,0.1,0.933351332
16,4,leaky_relu,0.001,1024,20,0.1,0.935103941
16,2,leaky_relu,0.001,1024,20,0.1,0.936504884
16,2,leaky_relu,0.001,512,20,0.1,0.940034827
